九分,きゅうふん,nine minutes,会L1(e)
,きゅうり,cucumber,会L8(e)
給料,きゅうりょう,salary,会L17
今日,きょう,today,"会L3, 会L4(e)"
教科書,きょうかしょ,textbook,会L6
教師,きょうし,schoolteacher,会L11
教室,きょうしつ,classroom,会L15
今日中に,きょうじゅうに,by the end of today,会L16
兄弟,きょうだい,brothers and sisters,会L7
共通語,きょうつうご,common language,会L11(e)
興味がある,きょうみがある,to be interested (in),会L12
～行目,～ぎょうめ,line number . . .,会L11(e)
去年,きょねん,last year,"会L4(e), 会L9"
嫌い,きらい（な）,disgusted with; to dislike,会L5
切る,きる,to cut,"会L8, 会L17(e)"
着る,きる,to put on (clothes above your waist) ,会L7
,きれい（な）,beautiful; clean,会L5
,～キロ,. . . kilometers; . . . kilograms,会L13
気をつける,きをつける,to be cautious/careful ,会L15
金色,きんいろ,gold,会L9(e)
銀色,ぎんいろ,silver,会L9(e)
禁煙,きんえん,non-smoking,会L15(e)
金額,きんがく,amount,会L13(e)
銀行,ぎんこう,bank,会L2
近所,きんじょ,neighborhood,読L11-II
緊張する,きんちょうする,to get nervous ,会L12
金曜日,きんようび,Friday,"会L4, 会L4(e)"
空港,くうこう,airport,会L13
九月,くがつ,September,会L4(e)
九時,くじ,nine o’clock,会L1(e)
,くしゃみ,sneeze,会L12(e)
,くじら,whale,読L15-II
薬,くすり,medicine,会L9
薬を飲む,くすりをのむ,to take medicine,会L9
くだけた言い方,くだけたいいかた,colloquial expression,会L11(e)
,ください（～を）,Please give me . . .,会L2
下さる,くださる,honorific expression for くれる,会L19
果物,くだもの,fruit,会L5
口,くち,mouth,"会L7, 会L7(e)"
靴,くつ,shoes,会L2
靴下,くつした,socks,会L23
国,くに,country; place of origin,会L6
首,くび,neck,会L7(e)
雲,くも,cloud,読L17-II
曇り,くもり,cloudy weather,会L8
暗い,くらい,dark,会L18
,～ぐらい,about (approximate measurement),会L4
,クラス,class,会L4
比べる,くらべる,to compare ,会L21
,グリーン,green,会L9(e)
,クリスマス,Christmas,会L14
来る,くる,to come ,会L3
車,くるま,car,会L7
,グレー,gray,会L9(e)
,クレジットカード,credit card,会L13(e)
,くれる,to give (me) ,会L14
黒い,くろい,black,"会L9, 会L9(e)"
～君,～くん,Mr./Ms. . . . (casual),会L14
計画を立てる,けいかくをたてる,to make a plan ,会L22
経験,けいけん,experience,"読L13-II, 会L15"
敬語,けいご,honorific language,会L19
経済,けいざい,economics,"会L1, 会L2"
警察,けいさつ,police; police station,会L21
警察官,けいさつかん,police officer,会L11
芸術,げいじゅつ,art,読L17-II
携帯（電話）,けいたい（でんわ）,cell phone,会L18
,ケーキ,cake,会L10
,ゲーム,game,会L4
,けが,injury,会L12(e)
外科,げか,surgeon,会L12(e)
今朝,けさ,this morning,会L8
景色,けしき,scenery,読L15-II
消しゴム,けしゴム,eraser,会L2(e)
化粧する,けしょうする,to put makeup on ,会L17
化粧品,けしょうひん,cosmetics,会L14
消す,けす,to turn off; to erase,会L6
,けち（な）,stingy; cheap,会L14
結果,けっか,result,会L23
結構です,けっこうです,That would be fine.; That wouldn’t be necessary.,会L6
結婚式,けっこんしき,wedding,会L15
結婚する,けっこんする,to get married ,会L7
月曜日,げつようび,Monday,"会L4, 会L4(e)"
,～けど,". . . , but; . . . , so",会L15
下痢,げり,diarrhea,会L12(e)
,ける,to kick,会L21
,けんかする,to have a fight; to quarrel ,会L11
元気,げんき（な）,healthy; energetic,会L5
元気がない,げんきがない,don’t look well,会L12
元気でね,げんきでね,Take care of yourself.,会L23
研究,けんきゅう,research,会L16
研究者,けんきゅうしゃ,researcher,会L11
現金,げんきん,cash,会L13(e)
健康,けんこう,health,会L23
原爆,げんばく,atomic bomb,読L15-II
～個,～こ,[generic counter for smaller items],"会L14, 会L14(e)"
～後,～ご,in . . . time; after . . .,会L10
～語,～ご,. . . language,会L1
公園,こうえん,park,会L4
交換する,こうかんする,to exchange ,会L20
高校,こうこう,high school,会L1
高校生,こうこうせい,high school student,会L1
広告,こうこく,advertisement,会L13
口座,こうざ,account,会L13(e)
工場,こうじょう,factory,会L21
抗生物質,こうせいぶっしつ,antibiotic,会L12(e)
紅茶,こうちゃ,black tea,会L13
交通系ICカード,こうつうけいアイシーカード,"rechargeable card such as Suica, Icoca, Pasmo, etc.",会L10(e)
後輩,こうはい,junior member of a group,会L22
紅葉,こうよう,autumn leaves/colors,読L15-II
声,こえ,voice,読L10-II
,コーヒー,coffee,会L3
,ゴールド,gold,会L9(e)
五月,ごがつ,May,会L4(e)
国際,こくさい,international,読L19-III
国際関係,こくさいかんけい,international relations,会L1
黒板,こくばん,blackboard,会L2(e)
,ここ,here,会L2
午後,ごご,p.m.,会L1
九日,ここのか,nine days,会L13
九日,ここのか,the ninth day of a month,会L4(e)
九つ,ここのつ,nine,会L9
心,こころ,mind; heart,読L20-II
,ござる,extra-modest expression for ある,会L20
五時,ごじ,five o’clock,会L1(e)
ご主人,ごしゅじん,(your/someone’s) husband,会L14
午前,ごぜん,a.m.,会L1
午前中,ごぜんちゅう,in the morning,"読L9-II, 会L21"
答／答え,こたえ,answer,"会L11(e), 読L23-II"
答える,こたえる,to answer ,"読L8-II, 会L23"
,ごちそう,excellent food,読L9-II
,ごちそうさま（でした）,Thank you for the meal. (after eating),会G
,ごちそうする,to treat/invite (someone) to a meal ,会L19
,こちら,this person (polite),会L11
,こちら,this way (polite),会L19
骨折する,こっせつする,to break (a bone),会L12(e)
,こと,things; matters,"読L11-II, 会L21"
今年,ことし,this year,"会L4(e), 会L10"
言葉,ことば,language,会L13
子供,こども,child,会L4
,ことわざ,proverb,読L23-II
,この,this . . .,会L2
この間,このあいだ,the other day,"読L8-II, 会L16"
,このぐらい,about this much,会L16
,このごろ,these days,会L10
,このように,like this; this way,読L23-II
ご飯,ごはん,rice; meal,会L4
コピーを取る,コピーをとる,to make a photocopy,会L22
五分,ごふん,five minutes,会L1(e)
困る,こまる,to have difficulty,会L16
,ごみ,garbage,会L16
混む,こむ,to get crowded,"読L15-II, 会L17"
,ごめん,I’m sorry. (casual),会L16
,ごめんなさい,I’m sorry.,会L4
ご覧になる,ごらんになる,honorific expression for みる,会L19
,ゴルフ,golf,会L13
,これ,this one,会L2
,これから,from now on,"読L11-II, 会L16"
,～ころ,time of . . . ; when . . .,会L21
,～ごろ,at about . . .,会L3
,ごろごろする,to chill out at home; to stay home do nothing ,会L10
転ぶ,ころぶ,to fall down,会L18
怖い,こわい,frightening,会L5
壊す,こわす,to break (something),会L18
壊れる,こわれる,(something) breaks ,会L18
紺色,こんいろ,navy,会L9(e)
今学期,こんがっき,this semester,会L11
今月,こんげつ,this month,"会L4(e), 会L8"
,コンサート,concert,会L9
今週,こんしゅう,this week,"会L4(e), 会L6"
,コンタクト（レンズ）,contact lenses,会L17
混んでいる,こんでいる,to be crowded,読L15-II
今度,こんど,near future,会L9
,こんな～,. . . like this; this kind of . . .,会L14
,こんなふう,like this,会L22
,こんにちは,Good afternoon.,会G
今晩,こんばん,tonight,会L3
,こんばんは,Good evening.,会G
,コンビニ,convenience store,会L2
,コンピューター,computer,"会L1, 会L2"
,さあ,I am not sure . . .,会L14
,サークル,club activity,会L7
,サーフィン,surfing,会L5
～歳,～さい,. . . years old,会L1
最悪,さいあく（な）,the worst,会L17
最近,さいきん,recently,会L15
最後に,さいごに,finally; lastly,"読L8-II, 会L23"
財布,さいふ,wallet,会L2
探す,さがす,to look for,会L15
魚,さかな,fish,会L2
咲く,さく,to bloom,会L18
作品,さくひん,"work (of art, etc.)",読L17-II
作文,さくぶん,essay; composition,会L9
桜,さくら,cherry blossom,会L18
酒,さけ,sake; alcohol,会L3
差し上げる,さしあげる,humble expression for あげる ,会L20
刺す,さす,to bite,会L21
誘う,さそう,to invite,会L15
座談会,ざだんかい,round-table discussion,読L13-III
～冊,～さつ,[counter for bound volumes],"会L14, 会L14(e)"
作家,さっか,writer,会L11
,サッカー,soccer,会L10
雑誌,ざっし,magazine,会L3
砂糖,さとう,sugar,会L16
寂しい,さびしい,lonely,会L9
,サボる,to cut (classes),会L11
～様,～さま,Mr./Ms. . . .,読L5-II
寒い,さむい,cold (weather),会L5
,さようなら,Good-bye.,会G
皿,さら,plate; dish,会L14
再来月,さらいげつ,the month after next,会L4(e)
再来週,さらいしゅう,the week after next,会L4(e)
再来年,さらいねん,the year after next,会L4(e)
,サラリーマン,salaryman; office worker,会L17
猿,さる,monkey,会L22
触る,さわる,to touch,会L21
,～さん,Mr./Ms. . . .,会L1
参加する,さんかする,to participate ,会L15
三月,さんがつ,March,会L4(e)
残業,ざんぎょう,overtime work,"読L8-II, 会L17"
三時,さんじ,three o’clock,会L1(e)
三十分,さんじっぷん/さんじゅっぷん,thirty minutes,会L1(e)
賛成する,さんせいする,to agree ,会L22
残高照会,ざんだかしょうかい,balance inquiry,会L13(e)
残念（ですね）,ざんねん（ですね）,That’s too bad.,会L8
産婦人科,さんふじんか,obstetrician and gynecologist,会L12(e)
三分,さんぷん,three minutes,会L1(e)
